ID,ROI1,ROI2,y_LO,y_HI
15,"R_antFusG","R_aHC_182_218_182",0.414395505197595,0.575426096706689
16,"R_antFusG","R_aHC_182_218_182",0.102019556570185,0.457954213572996
17,"R_antFusG","R_aHC_182_218_182",0.374118021530173,0.297187003529084
18,"R_antFusG","R_aHC_182_218_182",0.202379861158058,0.281406066298178
19,"R_antFusG","R_aHC_182_218_182",0.382513430893786,0.474648425620816
20,"R_antFusG","R_aHC_182_218_182",0.743010802847862,0.306188484564004
21,"R_antFusG","R_aHC_182_218_182",0.331817659111399,0.280290597433553
23,"R_antFusG","R_aHC_182_218_182",-0.793565575472752,0.449489983783374
24,"R_antFusG","R_aHC_182_218_182",0.586820682759566,0.392036572950854
25,"R_antFusG","R_aHC_182_218_182",0.333064707512141,0.296872561952866
26,"R_antFusG","R_aHC_182_218_182",0.392887408092586,0.237661322967855
27,"R_antFusG","R_aHC_182_218_182",0.342450138897972,0.374413105647091
28,"R_antFusG","R_aHC_182_218_182",0.49097648059317,0.280970194029063
29,"R_antFusG","R_aHC_182_218_182",0.143648486199983,0.357745048318212
30,"R_antFusG","R_aHC_182_218_182",0.680730488769036,0.35350978027301
31,"R_antFusG","R_aHC_182_218_182",0.283778207943712,0.0789868764494496
1,"R_antFusG","R_pHC_182_218_182",-0.173080673874636,0.515477479959268
2,"R_antFusG","R_pHC_182_218_182",0.250493326096099,0.156446985141327
3,"R_antFusG","R_pHC_182_218_182",-0.111522661672008,0.0105656784707557
4,"R_antFusG","R_pHC_182_218_182",0.457884195466304,0.152813267081057
5,"R_antFusG","R_pHC_182_218_182",0.545554718340863,0.225199973656384
6,"R_antFusG","R_pHC_182_218_182",-0.0306892681943195,0.0524742919269442
7,"R_antFusG","R_pHC_182_218_182",0.559439372935409,0.308488093270982
8,"R_antFusG","R_pHC_182_218_182",0.128637715556804,0.186918080020013
9,"R_antFusG","R_pHC_182_218_182",-0.0178774190512011,-0.0140799177427613
10,"R_antFusG","R_pHC_182_218_182",0.0175927530218999,0.198169780331572
11,"R_antFusG","R_pHC_182_218_182",0.0191610153423474,-0.113553726473536
12,"R_antFusG","R_pHC_182_218_182",0.025386391632491,0.089309121608234
13,"R_antFusG","R_pHC_182_218_182",-0.200764321500727,-0.109267145908156
14,"R_antFusG","R_pHC_182_218_182",-0.217308098126413,-0.118744414786174
15,"R_antFusG","R_pHC_182_218_182",0.104727483300192,0.142112332580824
16,"R_antFusG","R_pHC_182_218_182",0.176665878939088,-0.0688193671217037
17,"R_antFusG","R_pHC_182_218_182",-0.0252463069975971,0.113319448600977
18,"R_antFusG","R_pHC_182_218_182",-0.146879341492174,-0.312436565099175
19,"R_antFusG","R_pHC_182_218_182",-0.0622870016397682,-0.202669845137313
20,"R_antFusG","R_pHC_182_218_182",0.404459698153466,0.164527895203738
21,"R_antFusG","R_pHC_182_218_182",-0.0854642505003198,0.0594137938111996
23,"R_antFusG","R_pHC_182_218_182",-0.356130954177299,-0.0554774573779657
24,"R_antFusG","R_pHC_182_218_182",0.344132523612789,-0.127925213519532
25,"R_antFusG","R_pHC_182_218_182",0.103928421755821,0.297997646355073
26,"R_antFusG","R_pHC_182_218_182",0.393752277800898,0.137712103996894
27,"R_antFusG","R_pHC_182_218_182",0.160898829634102,0.377009875739174
28,"R_antFusG","R_pHC_182_218_182",0.373625176466065,0.146314437114261
29,"R_antFusG","R_pHC_182_218_182",-0.158702973203695,-0.176198466349802
30,"R_antFusG","R_pHC_182_218_182",0.397995808066185,0.192463146967046
31,"R_antFusG","R_pHC_182_218_182",-0.112865394778008,0.0910690236830852
1,"R_antFusG","L_antFusG",1.20302650970805,0.853883299657397
2,"R_antFusG","L_antFusG",1.132644987367,0.881339078228317
3,"R_antFusG","L_antFusG",0.553321959616462,0.902060895068541
4,"R_antFusG","L_antFusG",1.02592740243526,0.955740582549741
5,"R_antFusG","L_antFusG",0.876189958114014,0.790743037447931
6,"R_antFusG","L_antFusG",1.14216724222948,1.2785873501481
7,"R_antFusG","L_antFusG",1.19597746981306,1.23079743614874
8,"R_antFusG","L_antFusG",0.92315099813229,0.779565843830658
9,"R_antFusG","L_antFusG",0.971098091850553,0.831731980491747
10,"R_antFusG","L_antFusG",0.902077872757863,0.924349661603802
11,"R_antFusG","L_antFusG",0.784192480118657,0.464315241951358
12,"R_antFusG","L_antFusG",0.755832604119762,0.960187136147499
13,"R_antFusG","L_antFusG",1.16668508772984,1.29378950378016
14,"R_antFusG","L_antFusG",0.796775144055736,0.638949292915348
15,"R_antFusG","L_antFusG",1.05011010599675,0.998455531159841
16,"R_antFusG","L_antFusG",0.80573481547226,0.706808987822739
17,"R_antFusG","L_antFusG",0.491146252317244,0.753058204290274
18,"R_antFusG","L_antFusG",0.644890710552469,0.935316080640891
19,"R_antFusG","L_antFusG",0.899211362352254,0.558019745786916
20,"R_antFusG","L_antFusG",0.811970373658481,0.642103395793168
21,"R_antFusG","L_antFusG",0.651126632925185,0.882653422211454
23,"R_antFusG","L_antFusG",1.26791538228098,1.49464277614221
24,"R_antFusG","L_antFusG",0.809946317025416,1.11808661861064
25,"R_antFusG","L_antFusG",1.14803016150516,1.30730570534266
26,"R_antFusG","L_antFusG",0.780961333622483,0.694759987927233
27,"R_antFusG","L_antFusG",0.899998926179776,0.761467277357799
28,"R_antFusG","L_antFusG",0.901060637493946,1.00250789806161
29,"R_antFusG","L_antFusG",1.01075888631245,0.741785462059778
30,"R_antFusG","L_antFusG",0.734192043908585,1.0245456338522
31,"R_antFusG","L_antFusG",1.23955295533573,1.48435404521079
1,"R_antFusG","atlas.Amygdala r",0.368844299178982,0.63290375114896
2,"R_antFusG","atlas.Amygdala r",0.422140798237655,0.225198725856716
3,"R_antFusG","atlas.Amygdala r",-0.0707649338930941,0.163617254136875
4,"R_antFusG","atlas.Amygdala r",0.304690809187592,0.431785078696646
5,"R_antFusG","atlas.Amygdala r",-0.084165236912821,0.0273178928819023
6,"R_antFusG","atlas.Amygdala r",0.571353556315895,0.512933458781661
7,"R_antFusG","atlas.Amygdala r",0.144730088357669,0.29613296586507
8,"R_antFusG","atlas.Amygdala r",0.245140533291993,0.427673920540583
9,"R_antFusG","atlas.Amygdala r",0.197572764714676,0.425168269394282
10,"R_antFusG","atlas.Amygdala r",0.451754148489449,0.258786141628207
11,"R_antFusG","atlas.Amygdala r",0.336992127775953,0.517181529535771
12,"R_antFusG","atlas.Amygdala r",0.216899986676218,-0.0787576827043421
13,"R_antFusG","atlas.Amygdala r",0.306582676570788,0.199692420626258
14,"R_antFusG","atlas.Amygdala r",0.343803493157076,0.309792547131071
15,"R_antFusG","atlas.Amygdala r",0.420529926623929,0.371289929172145
16,"R_antFusG","atlas.Amygdala r",-0.0612871987107282,0.546130834122794
17,"R_antFusG","atlas.Amygdala r",0.201934422986968,0.397546932963656
18,"R_antFusG","atlas.Amygdala r",0.314744927005317,0.504167722478985
19,"R_antFusG","atlas.Amygdala r",0.139737707697777,0.560274555647525
20,"R_antFusG","atlas.Amygdala r",0.269780523492544,0.0083002071490636
21,"R_antFusG","atlas.Amygdala r",0.122660172621311,0.0682190449471162
23,"R_antFusG","atlas.Amygdala r",-0.69067569050827,0.360246011138128
24,"R_antFusG","atlas.Amygdala r",0.606535556082441,0.652511899205364
25,"R_antFusG","atlas.Amygdala r",0.451681984332521,0.408309382121373
26,"R_antFusG","atlas.Amygdala r",0.403915870053479,0.102673582197915
27,"R_antFusG","atlas.Amygdala r",0.596665264928182,0.275284077476585
28,"R_antFusG","atlas.Amygdala r",-0.0611612528497898,0.291280043898909
29,"R_antFusG","atlas.Amygdala r",0.283064205763389,0.214839952975363
30,"R_antFusG","atlas.Amygdala r",0.520205763331524,0.293273496593346
31,"R_antFusG","atlas.Amygdala r",0.209707166516405,0.13869503345432
1,"R_antFusG","atlas.Amygdala l",0.496101404270765,0.460665571838837
2,"R_antFusG","atlas.Amygdala l",0.114056611702794,0.321199298662946
3,"R_antFusG","atlas.Amygdala l",-0.027652045318855,-0.0652771263131638
4,"R_antFusG","atlas.Amygdala l",0.360108964378671,0.368298073395506
5,"R_antFusG","atlas.Amygdala l",0.154222819415648,-0.192951292610555
6,"R_antFusG","atlas.Amygdala l",0.586090682158271,0.604293676295242
7,"R_antFusG","atlas.Amygdala l",0.144380407596609,0.133760358103189
8,"R_antFusG","atlas.Amygdala l",0.442137356254732,0.411894448004444
9,"R_antFusG","atlas.Amygdala l",0.341787401592223,0.504391953354958
10,"R_antFusG","atlas.Amygdala l",0.323948217695163,0.148590529166124
11,"R_antFusG","atlas.Amygdala l",0.540462820328249,0.221427696691809
12,"R_antFusG","atlas.Amygdala l",0.0225801133918056,0.162089656626452
13,"R_antFusG","atlas.Amygdala l",0.0777754744099264,0.27794662768833
14,"R_antFusG","atlas.Amygdala l",0.223664439812407,0.126721343888202
15,"R_antFusG","atlas.Amygdala l",0.548557107768678,0.452033828877419
16,"R_antFusG","atlas.Amygdala l",0.0124013531277164,0.422474008215789
17,"R_antFusG","atlas.Amygdala l",0.304905520614922,0.138424200125817
18,"R_antFusG","atlas.Amygdala l",0.196998122352669,0.428175394843591
19,"R_antFusG","atlas.Amygdala l",0.130056115376811,0.264411702350736
20,"R_antFusG","atlas.Amygdala l",0.215963685505473,0.0083259790403657
21,"R_antFusG","atlas.Amygdala l",0.425004249158434,0.179735325869718
23,"R_antFusG","atlas.Amygdala l",-0.0576557621232077,0.383876293939009
24,"R_antFusG","atlas.Amygdala l",0.471320920405111,0.570791765773754
25,"R_antFusG","atlas.Amygdala l",0.292495823161239,0.344901291389126
26,"R_antFusG","atlas.Amygdala l",0.388663566658539,0.287708243263525
27,"R_antFusG","atlas.Amygdala l",0.469541104602514,0.171604685790563
28,"R_antFusG","atlas.Amygdala l",0.111917470914023,0.136508281556377
29,"R_antFusG","atlas.Amygdala l",-0.060767825697891,0.215746626276712
30,"R_antFusG","atlas.Amygdala l",0.430980074351606,0.22989589057587
31,"R_antFusG","atlas.Amygdala l",0.0884098870727631,0.234579773576103
1,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.619467430623762,0.467431933217709
2,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.369498971284287,0.618999708571075
3,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.852907978864667,0.504323396422797
4,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.230890308677379,0.730608780999149
5,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.653992024321982,0.756575732329651
6,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.236230622426763,0.669368713703852
7,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.994731419030406,1.02762671047799
8,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.687468319581285,0.603546529625607
9,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.737069615854937,0.519702013917732
10,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.511766884476467,0.646380174092261
11,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.709564394159942,0.779672668527014
12,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.422148905006819,0.494150274317016
13,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.668123544675308,1.00200652078457
14,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.666333892002278,0.5514330994026
15,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.676175053241593,0.804809105454242
16,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.596957749891862,0.846480619555052
17,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.570381506857004,0.64233554242644
18,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.852576867649851,1.00646304126115
19,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.474188327386456,0.659770274358089
20,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.613420402376557,0.540578857799337
21,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.537792477527032,0.897918604537858
23,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.304874616997641,0.281502092660249
24,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.88002063367897,0.976271944694996
25,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.510111632980916,0.774379363095712
26,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.357047372900347,0.495345298315257
27,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.617939008710015,0.629611795915097
28,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.636856167612935,0.717251980645922
29,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.807670769321363,0.793176199323262
30,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.800041911038203,0.787580028959391
31,"R_antFusG","atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)",0.671500406920263,0.986678464382499
1,"R_antFusG","atlas.iLOC l (Lateral Occipital Cortex, inferior division Left)",0.790987077716353,0.468058591469618
2,"R_antFusG","atlas.iLOC l (Lateral Occipital Cortex, inferior division Left)",0.561121719011352,0.664618907761737
3,"R_antFusG","atlas.iLOC l (Lateral Occipital Cortex, inferior division Left)",0.871367664584564,0.585853416362137
4,"R_antFusG","atlas.iLOC l (Lateral Occipital Cortex, inferior division Left)",0.496425353309139,0.843938749546425
5,"R_antFusG","atlas.iLOC l (Lateral Occipital Cortex, inferior division Left)",0.706275781763112,0.776416570411734
6,"R_antFusG","atlas.iLOC l (Lateral Occipital Cortex, inferior division Left)",0.54287915959871,1.12554483518197
7,"R_antFusG","atlas.iLOC l (Lateral Occipital Cortex, inferior division Left)",1.26527468573131,1.21409082268232
8,"R_antFusG","atlas.iLOC l (Lateral Occipital Cortex, inferior division Left)",0.675017914557562,0.718502647588966
9,"R_antFusG","atlas.iLOC l (Lateral Occipital Cortex, inferior division Left)",0.623532559456455,0.514558846405513
10,"R_antFusG","atlas.iLOC l (Lateral Occipital Cortex, inferior division Left)",0.47580310057395,0.565811361488722
11,"R_antFusG","atlas.iLOC l (Lateral Occipital Cortex, inferior division Left)",0.837586460354766,1.0276361051067
12,"R_antFusG","atlas.iLOC l (Lateral Occipital Cortex, inferior division Left)",0.439425208821616,0.579917695409208
13,"R_antFusG","atlas.iLOC l (Lateral Occipital Cortex, inferior division Left)",0.857255184532657,1.14042547992598
14,"R_antFusG","atlas.iLOC l (Lateral Occipital Cortex, inferior division Left)",0.598525920051122,0.626921516302675
15,"R_antFusG","atlas.iLOC l (Lateral Occipital Cortex, inferior division Left)",0.642585140988073,0.928723988402947
