corr_values;ROI_hemi_condition;ROI;hemi;condition;ID
0,206855731;riLOC_RLO-I;iLOC;r;R_LOI;22
-0,157655955;riLOC_RLO-I;iLOC;r;R_LOI;23
0,342937109;riLOC_RLO-I;iLOC;r;R_LOI;24
0,354735967;riLOC_RLO-I;iLOC;r;R_LOI;25
-0,029800559;riLOC_RLO-I;iLOC;r;R_LOI;26
0,768570868;riLOC_RLO-I;iLOC;r;R_LOI;27
-0,417674376;riLOC_RLO-I;iLOC;r;R_LOI;28
NA;riLOC_RLO-I;iLOC;r;R_LOI;29
0,196766964;riLOC_RLO-I;iLOC;r;R_LOI;30
0,000324998;riLOC_RLO-I;iLOC;r;R_LOI;31
0,188706247;riLOC_RLO-I;iLOC;r;R_LOI;32
0,277814174;liLOC_RLO-I;iLOC;l;R_LOI;1
0,186801448;liLOC_RLO-I;iLOC;l;R_LOI;2
-0,13388552;liLOC_RLO-I;iLOC;l;R_LOI;3
0,227009675;liLOC_RLO-I;iLOC;l;R_LOI;4
0,01526275;liLOC_RLO-I;iLOC;l;R_LOI;5
0,077678879;liLOC_RLO-I;iLOC;l;R_LOI;6
-0,042079736;liLOC_RLO-I;iLOC;l;R_LOI;7
0,289098482;liLOC_RLO-I;iLOC;l;R_LOI;8
-0,04368733;liLOC_RLO-I;iLOC;l;R_LOI;9
0,189202696;liLOC_RLO-I;iLOC;l;R_LOI;10
0,340580912;liLOC_RLO-I;iLOC;l;R_LOI;11
0,081258244;liLOC_RLO-I;iLOC;l;R_LOI;12
0,290307089;liLOC_RLO-I;iLOC;l;R_LOI;13
-0,19434072;liLOC_RLO-I;iLOC;l;R_LOI;14
0,157945458;liLOC_RLO-I;iLOC;l;R_LOI;15
0,128618459;liLOC_RLO-I;iLOC;l;R_LOI;16
-0,116402432;liLOC_RLO-I;iLOC;l;R_LOI;17
0,395770688;liLOC_RLO-I;iLOC;l;R_LOI;18
-0,069727539;liLOC_RLO-I;iLOC;l;R_LOI;19
