ID,vis_noRem_1,vis_RemnoI_1,vis_RemI_1,verb_cov_1,GV1,vis_noRem_2,vis_RemnoI_2,vis_RemI_2,verb_cov_2,GV2,vis_noRem_3,vis_RemnoI_3,vis_RemI_3,verb_cov_3,GV3,vis_noRem_4,vis_RemnoI_4,vis_RemI_4,verb_cov_4,GV4
sub-23,0.102816795756875,-0.206645656597213,0.177131213700361,-0.0633186361279129,-0.0202923990488373,0.188782254110076,2.10517010751444e-12,0.315034984951555,-0.0921170563455173,-0.0266295711386722,-0.148777368044669,0.0704280430676044,0.434031974663826,0.0917365063589573,0.0169964762884726,0.131770055497385,-0.273970897045538,0.161023955214399,-0.142608561202392,0.0426151693899052
sub-24,0.0283108274508713,0.0995294116166875,0.0605565417912109,0.0621167285767059,-0.0124213306961975,0.16824565463522,0.175765130259144,0.225919799159123,0.190646256665319,0.0143797150556765,0.189752107159002,0.396661407861767,0.154835283828846,0.0749977271080347,-0.0290077812577323,0.129926351163158,0.516220791283401,-0.107474848136539,0.0975630318271284,-0.029328711705551
sub-25,0.270691571136374,0.103745779001929,0.184196767739744,0.094855346411747,-0.0259391576281559,0.0944153409555249,0.366806016394387,0.116071865967314,-0.121957541995297,-0.00937801250672241,0.178670585876847,0.169276319773862,0.189726175558613,-0.0426688034089338,-0.0193093344889874,-0.110530991182692,-0.112363640179261,0.0575733754981703,0.12766691221916,0.0407202033316997
sub-26,-0.100019970730192,-0.0783994627404631,0.109548003939943,-0.107526156439547,-0.0121474445592806,0.234667759418881,0.354008410344741,0.194853915116294,-0.0823781984657462,-0.019180734083805,0.121787124810599,0.341059325064311,0.323172784724356,0.0932823519844605,-0.0251446721328243,0.127465082173894,4.62880523903898e-15,0.194356000290833,-0.0246716486148578,-0.0141252526874982
sub-27,0.0723170474224703,-0.108951006742982,0.105026452054469,-0.170841444260416,-0.0264357259787048,0.273073309368188,0.411574132942091,0.233263014570449,-0.0658416782474088,0.0291862726302086,0.163174512072474,0.117098447299972,0.139011812416173,-0.0961520919012978,-0.0344434492200604,0.0698666523412242,0.115955132197127,0.226856672104903,0.0341252538799508,-0.0149852542621205
sub-28,0.0979450634116838,0.168528247289464,0.0732263787261877,0.0790046681962727,-0.0197171024098373,0.169988405994784,0.194834461837914,0.218330047408938,-0.0627823999083593,-0.0219791289759006,0.0661122044333926,0.0502312275338591,0.0780290522296055,-0.109437807434385,-0.0254991740441307,0.102676936136917,4.79385003099006e-14,0.184760082795701,-0.0720378041986175,-0.0107559399642732
sub-29,0.276096720462555,0.17817962577836,0.159509229944664,0.0742953777301663,-0.0408718967365578,0.103349434180198,-0.0717243060437436,0.0827059664184261,-0.0814543853963778,-0.0189442423794651,-1.65169150349367e-13,0.130286906778428,0.217374929996604,0.163855837772847,0.0162632255505052,0.158650229513617,-0.357885444393749,0.248431342889325,0.0616776718481103,0.0189836343651418
sub-31,0.0604739540095419,0.137750300680359,0.106388331721861,-0.12399811530944,-0.0228064174896098,0.0645983566527665,0.275249566997622,0.36269023489741,-0.0707809157629711,0.0126179238351208,0.121446537862667,-0.304492806460879,0.197736302232856,0.0172686243546495,-0.00869755918140703,-0.233038819423872,0.257751330720355,0.264489709550998,0.0926947140478567,0.0162723012130073
sub-32,0.276219210363312,0.171739780506864,-0.0771747734504663,-0.0741996401225506,-0.0143567895735042,-0.123769562551915,0.16375330879291,0.0295895046674621,-0.120042191423662,0.024551158473524,0.122174394570106,0.114943824455026,0.243870494637806,-0.17363906841951,-0.0119065131457115,0.277376824609382,0.321604137476536,0.167621446712742,-0.101674189819045,-0.0101835976031081
sub-33,0.158578105290791,1.79770534288498e-11,0.26598081743905,0.117015695923849,-0.0199768361362967,-0.119026058353088,-0.474372528840816,-0.270120298171883,0.215164515203205,-0.0520353358644192,-0.019562294731652,-8.0953198244577e-13,-0.107125087360753,0.0975902841447936,-0.0104177885121503,0.108018270741619,0.209708896406077,0.0953555209291754,0.081011035457962,-0.0396534513627089
